"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2024-01-01 00:01:23+08:00",2.0,467.3,0.01,6.43,18.06,0.54,13.54,15.32,7.79,121.7725,16.9347,"2024-01-01 00:01:24.341122+08:00","Cauayan"
"2024-01-01 00:01:25+08:00",3.0,1375.2,2.07,52.78,2.08,20.74,38.83,57.93,10.26,120.9169,14.4825,"2024-01-01 00:01:25.978802+08:00","Cavite City"
"2024-01-01 00:01:28+08:00",1.0,337.12,0.0,6.77,22.71,2.41,7.39,9.34,3.64,123.8907,10.3167,"2024-01-01 00:01:28.835786+08:00","Cebu City"
"2024-01-01 00:01:31+08:00",2.0,847.82,1.55,22.62,3.62,10.25,19.74,34.2,7.03,121.1,14.6333,"2024-01-01 00:01:31.754470+08:00","City of Marikina"
"2024-01-01 00:01:33+08:00",1.0,216.96,0.0,0.99,44.35,3.79,2.66,2.84,0.24,123.5833,12.3333,"2024-01-01 00:01:33.999497+08:00","City of Masbate"
"2024-01-01 00:01:35+08:00",1.0,370.5,0.0,5.23,26.11,1.28,8.06,9.38,2.06,122.65,11.15,"2024-01-01 00:01:36.183393+08:00","City of Passi"
"2024-01-01 00:01:37+08:00",1.0,213.62,0.0,0.77,44.7,3.04,1.02,1.28,0.55,123.9833,12.9833,"2024-01-01 00:01:37.870727+08:00","City of Sorsogon"
"2024-01-01 00:01:39+08:00",2.0,587.46,0.01,8.48,10.19,0.98,22.18,26.04,5.83,124.2464,7.2236,"2024-01-01 00:01:39.986226+08:00","Cotabato"
"2024-01-01 00:01:41+08:00",1.0,230.31,0.0,1.39,31.11,0.17,1.66,1.92,0.74,121.5047,17.7061,"2024-01-01 00:01:41.628216+08:00","Dagupan"
"2024-01-01 00:01:43+08:00",1.0,226.97,0.0,5.31,37.55,2.74,2.36,2.71,0.93,124.0272,10.5208,"2024-01-01 00:01:43.735008+08:00","Danao"
"2024-01-01 00:01:45+08:00",1.0,337.12,0.0,6.77,22.71,2.41,7.39,9.34,3.64,123.9469,10.2706,"2024-01-01 00:01:45.239576+08:00","Dapitan"
"2024-01-01 00:01:46+08:00",1.0,473.98,0.0,19.36,31.11,16.21,9.06,14.65,4.24,120.9367,14.3294,"2024-01-01 00:01:46.958639+08:00","Dasmariñas"
"2024-01-01 00:01:49+08:00",1.0,250.34,0.0,3.17,16.99,0.66,2.13,2.86,0.79,125.6128,7.0731,"2024-01-01 00:01:49.709609+08:00","Davao"
"2024-01-01 00:01:51+08:00",1.0,343.8,0.01,5.36,19.31,0.95,6.01,7.22,2.15,125.3572,6.7497,"2024-01-01 00:01:51.655780+08:00","Digos"
"2024-01-01 00:01:54+08:00",1.0,216.96,0.0,0.9,42.2,0.4,0.95,1.1,0.16,123.3414,8.5894,"2024-01-01 00:01:54.420168+08:00","Dipolog"
"2024-01-01 00:01:56+08:00",1.0,247.0,0.0,3.56,33.62,1.21,2.52,3.27,3.58,123.3081,9.3103,"2024-01-01 00:01:56.827945+08:00","Dumaguete"
"2024-01-01 00:01:58+08:00",1.0,223.64,0.0,1.32,35.76,0.5,1.45,1.97,1.52,124.5225,8.5631,"2024-01-01 00:01:58.362153+08:00","El Salvador"
